Individuo,Tempo de execucao,Accuracy,F1 Score
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 23}, 'classifier_params': {'n_estimators': 7, 'random_state': 42}}",0.02566385269165039,0.6373626373626373,0.5490859567782644
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 22}, 'classifier_params': {'n_estimators': 7, 'random_state': 42}}",0.022693872451782227,0.6373626373626373,0.5490859567782644
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 43}, 'classifier_params': {'n_estimators': 69, 'random_state': 42}}",0.14869904518127441,0.5604395604395604,0.5799414260952722
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 26}, 'classifier_params': {'n_estimators': 81, 'random_state': 42}}",0.1318063735961914,0.6263736263736264,0.5501848578771656
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 13}, 'classifier_params': {'n_estimators': 71, 'random_state': 42}}",0.1073603630065918,0.5824175824175825,0.48820242737293423
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 47}, 'classifier_params': {'n_estimators': 32, 'random_state': 42}}",0.07877349853515625,0.5934065934065934,0.49238156801182
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 38}, 'classifier_params': {'n_estimators': 96, 'random_state': 42}}",0.17562389373779297,0.6373626373626373,0.5490859567782644
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 45}, 'classifier_params': {'n_estimators': 31, 'random_state': 42}}",0.07875418663024902,0.5934065934065934,0.49238156801182
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.9252069493040816}, 'feature_selection_params': {'k': 36}, 'classifier_params': {'n_estimators': 80, 'random_state': 42}}",0.15165424346923828,0.5934065934065934,0.48710352627403314
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 13}, 'classifier_params': {'n_estimators': 74, 'random_state': 42}}",0.10824847221374512,0.5934065934065934,0.48710352627403314
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 16}, 'classifier_params': {'n_estimators': 78, 'random_state': 42}}",0.1319131851196289,0.6263736263736264,0.5501848578771656
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 48}, 'classifier_params': {'n_estimators': 83, 'random_state': 42}}",0.18834376335144043,0.5934065934065934,0.49238156801182
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.014209493685728769}, 'feature_selection_params': {'k': 28}, 'classifier_params': {'n_estimators': 100, 'random_state': 42}}",0.1733405590057373,0.6373626373626373,0.5490859567782644
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 45}, 'classifier_params': {'n_estimators': 84, 'random_state': 42}}",0.17431235313415527,0.5934065934065934,0.49238156801182
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 31}, 'classifier_params': {'n_estimators': 65, 'random_state': 42}}",0.12881207466125488,0.6263736263736264,0.5501848578771656
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.4037080310337289}, 'feature_selection_params': {'k': 31}, 'classifier_params': {'n_estimators': 1, 'random_state': 42}}",0.012516498565673828,0.5494505494505495,0.42855581918081925
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 33}, 'classifier_params': {'n_estimators': 24, 'random_state': 42}}",0.05110955238342285,0.6373626373626373,0.5490859567782644
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 19}, 'classifier_params': {'n_estimators': 13, 'random_state': 42}}",0.033582210540771484,0.6263736263736264,0.5356737279814203
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.8163087661777203}, 'feature_selection_params': {'k': 37}, 'classifier_params': {'n_estimators': 53, 'random_state': 42}}",0.10373616218566895,0.5934065934065934,0.48912055686249234
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 12}, 'classifier_params': {'n_estimators': 27, 'random_state': 42}}",0.051157236099243164,0.5824175824175825,0.5321584713289782
