strategy,k,n_estimators,learning_rate,f1,elapsed_time
most_frequent,23,31,87,0.043183716867927394,0.200602
median,163,31,29,0.09703389527950931,0.647812
mean,78,11,68,0.11771018455228983,0.166317
median,183,76,9,0.04327485380116959,1.600685
most_frequent,13,51,60,0.025925925925925925,0.39185
mean,28,36,65,0.09515455304928991,0.311695
mean,228,91,90,0.21940600010775452,1.48972
median,203,61,89,0.20804797541639647,0.780827
most_frequent,13,11,7,0.12698957538774472,0.174713
median,78,6,3,0.0068740031897926625,0.135219
median,28,36,89,0.12254879623300677,0.256847
mean,163,31,29,0.09703389527950931,0.641135
most_frequent,163,31,87,0.12813344550186656,0.293877
most_frequent,228,91,90,0.21940600010775452,1.533224
mean,28,51,65,0.10568086883876357,0.400174
most_frequent,13,91,7,0.07528835263389037,0.838868
most_frequent,23,31,87,0.043183716867927394,0.18511
mean,163,31,65,0.10100250626566416,0.616441
median,78,6,90,0.1163970532391585,0.130925
mean,228,6,3,0.04374859708193042,0.189017
mean,78,76,9,0.010526315789473684,1.083294
mean,78,11,68,0.11771018455228983,0.167681
mean,203,61,89,0.20804797541639647,0.770326
mean,228,91,89,0.21915908652750762,1.005868
most_frequent,13,91,90,0.025,0.393749
mean,228,91,90,0.21940600010775452,1.50074
median,183,11,9,0.0456140350877193,0.284464
most_frequent,203,61,87,0.20804797541639647,0.694119
median,163,11,29,0.0965840527244036,0.270202
most_frequent,13,31,7,0.1385880159335537,0.341252
median,163,31,7,0.036257309941520474,0.64879
mean,13,11,65,0.03814814814814815,0.129528
median,203,36,65,0.18647259173574965,0.789971
most_frequent,13,51,87,0.041666666666666664,0.26021
median,78,11,68,0.12733981418191945,0.183504
median,203,31,29,0.09720870804462137,0.716753
most_frequent,13,6,3,0.10181286549707602,0.133076
most_frequent,23,31,87,0.043183716867927394,0.184471
median,78,11,68,0.12733981418191945,0.184603
most_frequent,23,31,7,0.10947368421052632,0.364679
mean,183,76,68,0.10158730158730159,1.229686
median,163,31,29,0.09703389527950931,0.648597
most_frequent,13,61,60,0.025925925925925925,0.453915
mean,203,61,90,0.2082948889966434,1.006554
mean,228,31,90,0.21940600010775452,0.553322
mean,28,51,65,0.10568086883876357,0.399708
mean,13,91,7,0.07528835263389037,0.816746
mean,228,51,65,0.17185270869481398,1.148068
mean,13,91,7,0.07528835263389037,0.821138
mean,163,31,65,0.10100250626566416,0.618927
mean,228,91,90,0.21940600010775452,1.494798
mean,228,91,90,0.21940600010775452,1.498224
mean,203,51,90,0.2082948889966434,0.847121
mean,203,61,68,0.21453213453213457,0.912311
most_frequent,203,61,7,0.03764619883040936,1.397564
mean,163,31,65,0.10100250626566416,0.602567
mean,228,91,90,0.21940600010775452,1.498344
mean,228,91,68,0.16483516483516486,1.644523
mean,203,61,90,0.2082948889966434,1.062478
most_frequent,13,91,89,0.041666666666666664,0.401707
mean,28,51,65,0.10568086883876357,0.411794
mean,78,51,65,0.10811751601225286,0.563583
mean,228,11,90,0.15413793483968924,0.24723
mean,13,91,65,0.107399910031489,0.719559
mean,28,11,68,0.1304853041695147,0.125131
mean,13,51,90,0.025,0.234471
mean,28,51,65,0.10568086883876357,0.435983
mean,228,91,68,0.16483516483516486,1.686992
most_frequent,163,31,65,0.10100250626566416,0.671795
mean,78,51,68,0.11585833270043797,0.559691
mean,13,91,90,0.025,0.366515
most_frequent,28,91,7,0.08947368421052632,1.001036
most_frequent,228,51,87,0.21940600010775452,0.645715
mean,228,91,90,0.21940600010775452,1.556289
mean,228,91,7,0.02361111111111111,2.051337
mean,203,61,68,0.21453213453213457,0.899849
mean,78,91,89,0.1049751418172471,0.47009
mean,163,91,89,0.122577889946311,0.710775
mean,28,51,65,0.10568086883876357,0.410523
mean,28,91,90,0.12254879623300677,0.543046
mean,78,11,65,0.1096212754107491,0.180868
mean,28,51,90,0.12254879623300677,0.339289
mean,13,31,65,0.03561253561253561,0.284165
mean,13,91,7,0.07528835263389037,0.826969
mean,228,11,90,0.15413793483968924,0.264024
mean,228,51,65,0.17185270869481398,1.172018
mean,28,91,65,0.10568086883876357,0.700905
mean,228,61,68,0.16483516483516486,1.328924
mean,163,91,89,0.122577889946311,0.715364
mean,228,91,90,0.21940600010775452,1.557384
most_frequent,163,91,89,0.122577889946311,0.762225
mean,228,51,65,0.17185270869481398,1.164504
mean,203,91,90,0.2082948889966434,1.488509
mean,163,31,65,0.10100250626566416,0.646221
mean,163,61,68,0.17912087912087912,1.111209
mean,228,11,90,0.15413793483968924,0.241259
mean,228,51,90,0.21940600010775452,0.913889
mean,228,51,90,0.21940600010775452,0.919299
most_frequent,228,11,87,0.15843733913909352,0.267483
mean,163,91,89,0.122577889946311,0.712901
most_frequent,228,91,90,0.21940600010775452,1.61309
mean,228,91,90,0.21940600010775452,1.545422
mean,28,51,87,0.12254879623300677,0.340047
most_frequent,228,91,90,0.21940600010775452,1.654396
mean,228,91,90,0.21940600010775452,1.602044
mean,228,91,90,0.21940600010775452,1.576114
mean,28,51,90,0.12254879623300677,0.345802
mean,28,51,65,0.10568086883876357,0.407587
mean,228,91,90,0.21940600010775452,1.50229
mean,228,91,89,0.21915908652750762,1.012197
most_frequent,228,51,87,0.21940600010775452,0.635249
most_frequent,28,51,65,0.10568086883876357,0.457275
mean,228,51,65,0.17185270869481398,1.169931
most_frequent,163,91,65,0.18647259173574965,1.672181
most_frequent,228,51,65,0.17185270869481398,1.191872
mean,203,51,65,0.18647259173574965,1.089962
most_frequent,228,11,87,0.15843733913909352,0.290071
mean,228,51,65,0.17185270869481398,1.140984
most_frequent,163,91,90,0.13702233439075545,1.162129
mean,203,51,68,0.21453213453213457,0.832402
mean,228,11,90,0.15413793483968924,0.285489
