individual,f1,elapsed_time
"[0.845504235623473, 0.4130568035010017, 0.8955779401398597, 0.45845802854414863, 0.7478993988402367, 0.5807706273762658, 0.5054277638607758, 0.637215680032692, 0.39435128923379237, 0.5918957633362765]",0.42071456125308143,0.47291
"[0.062282863519958154, 0.662443928153949, 0.13070828644016186, 0.2916760240569035, 0.8509137057886191, 0.9260419517816366, 0.3929526709074199, 0.8318998346876566, 0.32625156877977934, 0.45275785231557386]",0.42071456125308143,0.470268
"[0.2336112266383128, 0.9435546860300945, 0.13611184641671903, 0.7701466201596561, 0.10897283371843802, 0.10565775010269118, 0.4495667477403217, 0.3140332878121178, 0.12073673707190558, 0.35828744593735573]",0.42071456125308143,0.469068
"[0.770336748716505, 0.45191707691779515, 0.46334659505641396, 0.8524821856611486, 0.09042088804852488, 0.8075969046805415, 0.304214982885023, 0.7047048039501754, 0.6033024865413442, 0.2150207894736882]",0.42071456125308143,0.463501
"[0.8565732712134246, 0.1483237973690994, 0.7111573982851116, 0.968400004176369, 0.3962444626797711, 0.04895061759042274, 0.29884071096902176, 0.8200896158119784, 0.17386773251803278, 0.952096606823744]",0.43199275674180326,0.468037
"[0.8546013046220031, 0.5559537615483883, 0.5501208920020806, 0.09472527699204714, 0.10190734866184548, 0.7938097427769977, 0.12145325550404873, 0.06166918449381231, 0.7809599934709611, 0.2222881326877716]",0.42071456125308143,0.473988
"[0.1981330351805196, 0.40058180967151924, 0.6862852620355602, 0.9375748980394379, 0.0840394242281004, 0.5861187522025454, 0.9174285815115801, 0.0749871806934489, 0.9971614261304739, 0.19775033669543318]",0.42071456125308143,0.465302
"[0.6459868955867836, 0.8092986652910079, 0.09197863865701827, 0.8472754346531344, 0.8088872084882102, 0.12252765925747389, 0.9422806610241153, 0.0506377009152561, 0.9241317255339339, 0.4331563772386714]",0.42071456125308143,0.463016
"[0.724430847130706, 0.4961263912132553, 0.3827294385672577, 0.4266640184283793, 0.35394325267312, 0.9083042158719234, 0.2749817690242421, 0.4460114306466564, 0.14863140906877392, 0.6141065777776877]",0.42071456125308143,0.462774
"[0.6169771644904075, 0.6472784004740801, 0.49889160999649906, 0.8827785741589118, 0.4790309299601545, 0.08772155105900747, 0.38301527602401386, 0.41923482119633104, 0.6426525256384351, 0.7971979418830131]",0.42071456125308143,0.469986
"[0.724430847130706, 0.4961263912132553, 0.3827294385672577, 0.4266640184283793, 0.35394325267312, 0.9083042158719234, 0.5054277638607758, 0.4460114306466564, 0.14863140906877392, 0.6141065777776877]",0.42071456125308143,0.469263
"[0.6459868955867836, 0.8092986652910079, 0.09197863865701827, 0.8472754346531344, 0.8088872084882102, 0.12252765925747389, 0.9422806610241153, 0.0506377009152561, 0.9241317255339339, 0.2222881326877716]",0.42071456125308143,0.465597
"[0.8565732712134246, 0.9435546860300945, 0.13611184641671903, 0.7701466201596561, 0.10897283371843802, 0.10565775010269118, 0.4495667477403217, 0.8200896158119784, 0.17386773251803278, 0.952096606823744]",0.42071456125308143,0.459157
"[0.845504235623473, 0.1483237973690994, 0.7111573982851116, 0.968400004176369, 0.3962444626797711, 0.04895061759042274, 0.29884071096902176, 0.8200896158119784, 0.17386773251803278, 0.5918957633362765]",0.42071456125308143,0.49756
"[0.6169771644904075, 0.6472784004740801, 0.46334659505641396, 0.8827785741589118, 0.4790309299601545, 0.08772155105900747, 0.38301527602401386, 0.41923482119633104, 0.6426525256384351, 0.7971979418830131]",0.42071456125308143,0.47034
"[0.770336748716505, 0.1483237973690994, 0.7111573982851116, 0.968400004176369, 0.3962444626797711, 0.04895061759042274, 0.29884071096902176, 0.8200896158119784, 0.17386773251803278, 0.2150207894736882]",0.42071456125308143,0.479395
"[0.1981330351805196, 0.40058180967151924, 0.6862852620355602, 0.09472527699204714, 0.0840394242281004, 0.5861187522025454, 0.9174285815115801, 0.0749871806934489, 0.9971614261304739, 0.19775033669543318]",0.43199275674180326,0.460155
"[0.8546013046220031, 0.6472784004740801, 0.49889160999649906, 0.8827785741589118, 0.4790309299601545, 0.08772155105900747, 0.38301527602401386, 0.41923482119633104, 0.6426525256384351, 0.7971979418830131]",0.42071456125308143,0.481498
"[0.770336748716505, 0.45191707691779515, 0.46334659505641396, 0.8524821856611486, 0.09042088804852488, 0.12252765925747389, 0.9422806610241153, 0.0506377009152561, 0.9241317255339339, 0.2150207894736882]",0.42071456125308143,0.489871
"[0.845504235623473, 0.662443928153949, 0.13070828644016186, 0.2916760240569035, 0.8509137057886191, 0.5807706273762658, 0.5054277638607758, 0.637215680032692, 0.39435128923379237, 0.5918957633362765]",0.42146644095232955,0.486956
"[0.845504235623473, 0.4961263912132553, 0.3827294385672577, 0.4266640184283793, 0.35394325267312, 0.9083042158719234, 0.2749817690242421, 0.4460114306466564, 0.39435128923379237, 0.5918957633362765]",0.42071456125308143,0.463025
"[0.6169771644904075, 0.6472784004740801, 0.49889160999649906, 0.8524821856611486, 0.09042088804852488, 0.8075969046805415, 0.304214982885023, 0.41923482119633104, 0.6426525256384351, 0.7971979418830131]",0.42071456125308143,0.47164
"[0.2336112266383128, 0.9435546860300945, 0.49889160999649906, 0.8827785741589118, 0.4790309299601545, 0.08772155105900747, 0.38301527602401386, 0.41923482119633104, 0.6426525256384351, 0.7971979418830131]",0.42071456125308143,0.46941
"[0.1981330351805196, 0.40058180967151924, 0.6862852620355602, 0.9375748980394379, 0.0840394242281004, 0.9260419517816366, 0.9174285815115801, 0.0749871806934489, 0.9971614261304739, 0.19775033669543318]",0.42071456125308143,0.470997
"[0.2336112266383128, 0.9435546860300945, 0.13611184641671903, 0.7701466201596561, 0.10897283371843802, 0.10565775010269118, 0.9174285815115801, 0.0749871806934489, 0.12073673707190558, 0.35828744593735573]",0.43199275674180326,0.462448
"[0.724430847130706, 0.4961263912132553, 0.3827294385672577, 0.09472527699204714, 0.35394325267312, 0.9083042158719234, 0.2749817690242421, 0.4460114306466564, 0.14863140906877392, 0.6141065777776877]",0.42071456125308143,0.466276
"[0.8565732712134246, 0.9435546860300945, 0.13611184641671903, 0.968400004176369, 0.3962444626797711, 0.04895061759042274, 0.29884071096902176, 0.8200896158119784, 0.17386773251803278, 0.952096606823744]",0.42146644095232955,0.467811
"[0.6169771644904075, 0.6472784004740801, 0.49889160999649906, 0.45845802854414863, 0.7478993988402367, 0.5807706273762658, 0.5054277638607758, 0.41923482119633104, 0.6426525256384351, 0.7971979418830131]",0.42071456125308143,0.471174
"[0.6169771644904075, 0.6472784004740801, 0.49889160999649906, 0.2916760240569035, 0.8509137057886191, 0.9260419517816366, 0.3929526709074199, 0.8318998346876566, 0.6426525256384351, 0.7971979418830131]",0.43199275674180326,0.463075
"[0.062282863519958154, 0.662443928153949, 0.13070828644016186, 0.2916760240569035, 0.8509137057886191, 0.9260419517816366, 0.304214982885023, 0.8318998346876566, 0.32625156877977934, 0.45275785231557386]",0.42071456125308143,0.463299
"[0.062282863519958154, 0.5559537615483883, 0.5501208920020806, 0.09472527699204714, 0.10190734866184548, 0.7938097427769977, 0.12145325550404873, 0.06166918449381231, 0.32625156877977934, 0.45275785231557386]",0.42071456125308143,0.477029
"[0.770336748716505, 0.45191707691779515, 0.46334659505641396, 0.8524821856611486, 0.09042088804852488, 0.9260419517816366, 0.304214982885023, 0.7047048039501754, 0.6033024865413442, 0.2150207894736882]",0.42071456125308143,0.47065
"[0.6459868955867836, 0.8092986652910079, 0.09197863865701827, 0.9375748980394379, 0.0840394242281004, 0.5861187522025454, 0.9174285815115801, 0.0749871806934489, 0.9241317255339339, 0.4331563772386714]",0.42071456125308143,0.470731
"[0.1981330351805196, 0.40058180967151924, 0.6862852620355602, 0.9375748980394379, 0.0840394242281004, 0.5861187522025454, 0.9174285815115801, 0.06166918449381231, 0.7809599934709611, 0.19775033669543318]",0.41825302279154297,0.458294
