strategy,k,n_estimators,learning_rate,f1,elapsed_time
median,218,71,97,0.0657198551935394,0.16993
median,133,1,21,0.4664754706453156,0.080757
median,133,71,2,0.41849297388771073,1.354163
most_frequent,73,46,51,0.04444444444444444,0.673185
mean,93,91,50,0.029629629629629627,1.440981
most_frequent,118,41,94,0.0958892958892959,0.216851
mean,243,81,45,0.10281166297678168,1.847075
median,248,96,48,0.010526315789473684,2.187862
mean,113,41,78,0.03966861598440545,0.525133
median,113,21,44,0.021637426900584796,0.406988
median,73,46,51,0.04444444444444444,0.635852
median,133,71,44,0.01111111111111111,1.46799
mean,118,91,50,0.007407407407407407,1.468906
mean,113,41,78,0.03966861598440545,0.570774
mean,93,91,21,0.013437796771130106,1.391645
most_frequent,118,81,94,0.0958892958892959,0.190231
median,73,21,44,0.02987772461456672,0.324697
most_frequent,118,96,94,0.0958892958892959,0.18995
most_frequent,73,46,97,0.06455026455026455,0.152022
median,133,71,21,0.05965502983046842,1.31989
median,133,81,2,0.41849297388771073,1.49989
median,133,1,97,0.4664754706453156,0.077384
median,218,21,44,0.027485380116959064,0.558717
median,243,71,2,0.42357490949596216,1.64565
median,248,96,51,0.059259259259259255,1.965325
most_frequent,243,81,45,0.10281166297678168,1.887931
most_frequent,73,71,51,0.04444444444444444,1.014544
median,113,81,44,0.01111111111111111,1.482037
median,243,1,21,0.4664754706453156,0.100654
median,118,41,21,0.024567310532222813,0.76185
median,248,96,48,0.010526315789473684,2.247182
median,248,96,45,0.011695906432748537,2.207983
mean,133,81,45,0.01644189239648476,1.522401
mean,113,41,50,0.018518518518518517,0.723302
mean,113,71,97,0.05973694921063342,0.136657
most_frequent,218,41,94,0.0620766942096582,0.307576
most_frequent,118,71,97,0.05343915343915344,0.1592
mean,218,71,78,0.12074342945486323,1.197516
median,248,96,48,0.010526315789473684,2.196075
median,118,96,48,0.0,1.524968
mean,133,71,78,0.06920077972709551,1.063155
median,73,46,51,0.04444444444444444,0.644901
mean,248,96,48,0.010526315789473684,2.278574
median,113,71,44,0.01111111111111111,1.226882
mean,93,91,78,0.12486772486772488,0.935075
most_frequent,118,41,51,0.13460038986354778,0.783246
median,218,71,2,0.4208695954863003,1.632356
mean,93,81,45,0.09903298551389365,1.238008
mean,93,91,45,0.09772579597141,1.396995
mean,93,81,50,0.029629629629629627,1.266637
mean,93,71,97,0.06681661418503523,0.132198
median,93,91,21,0.013437796771130106,1.369664
median,73,81,51,0.04444444444444444,1.144318
mean,133,91,50,0.04296296296296296,1.634503
mean,93,46,51,0.11396011396011396,0.701986
median,73,46,21,0.03308407183536183,0.642706
median,93,71,97,0.07039821776663882,0.136035
most_frequent,243,96,45,0.08732943469785573,2.194343
median,93,71,2,0.4369244097899069,1.069136
median,133,1,51,0.4664754706453156,0.075088
mean,93,91,50,0.029629629629629627,1.352348
most_frequent,248,96,51,0.059259259259259255,1.93916
median,248,71,2,0.4146860206070732,1.587263
median,73,71,51,0.04444444444444444,0.940389
median,93,46,51,0.04074074074074074,0.717524
mean,73,46,50,0.016666666666666666,0.621074
mean,93,71,97,0.06681661418503523,0.122455
mean,93,81,51,0.09544159544159544,1.139464
median,243,71,2,0.42357490949596216,1.602078
mean,93,81,50,0.029629629629629627,1.211444
median,93,91,51,0.029629629629629627,1.332342
most_frequent,243,91,45,0.09850552306692656,2.076141
median,218,71,50,0.05126705653021442,1.628258
mean,243,81,45,0.10281166297678168,1.824403
mean,243,71,2,0.42357490949596216,1.573826
median,248,96,51,0.059259259259259255,1.905444
median,243,71,2,0.42357490949596216,1.602245
most_frequent,73,46,50,0.016666666666666666,0.649865
mean,73,46,51,0.04444444444444444,0.620658
median,248,96,51,0.059259259259259255,1.910907
mean,93,91,50,0.029629629629629627,1.348436
median,73,96,51,0.04722222222222222,1.271023
mean,73,46,50,0.016666666666666666,0.644509
median,133,71,2,0.41849297388771073,1.286375
mean,93,96,50,0.04571150097465887,1.414602
median,133,71,2,0.41849297388771073,1.290457
mean,243,71,2,0.42357490949596216,1.571319
median,218,46,97,0.0657198551935394,0.16333
mean,93,81,51,0.09544159544159544,1.144819
median,243,71,97,0.08710079291796743,0.158017
median,93,71,97,0.07039821776663882,0.13289
mean,93,81,51,0.09544159544159544,1.141699
median,93,71,97,0.07039821776663882,0.132657
mean,93,81,51,0.09544159544159544,1.156743
median,133,81,51,0.05185185185185185,1.443013
mean,93,81,51,0.09544159544159544,1.135711
mean,93,71,51,0.10284900284900285,1.021569
median,93,81,50,0.029629629629629627,1.220173
median,73,71,51,0.04444444444444444,0.959403
mean,93,1,51,0.4664754706453156,0.066689
median,73,71,2,0.4368279284068758,0.950082
median,133,1,97,0.4664754706453156,0.074183
mean,93,1,51,0.4664754706453156,0.064734
median,248,71,2,0.4146860206070732,1.606514
mean,133,1,51,0.4664754706453156,0.067155
mean,93,81,51,0.09544159544159544,1.149739
mean,93,81,51,0.09544159544159544,1.136758
mean,93,81,50,0.029629629629629627,1.205282
median,248,71,2,0.4146860206070732,1.644812
median,243,71,51,0.05009746588693957,1.648262
mean,243,81,51,0.06150097465886939,1.795544
median,243,81,2,0.4332045391255918,1.794477
median,93,81,51,0.029629629629629627,1.15097
mean,93,71,50,0.04015594541910331,1.071153
mean,93,71,51,0.10284900284900285,1.060806
median,133,71,97,0.08209412419938736,0.15916
median,218,81,51,0.12097765781976308,1.589811
median,218,46,51,0.04600389863547758,0.94426
median,73,71,2,0.4368279284068758,0.940172
median,93,81,51,0.029629629629629627,1.152079
median,93,81,97,0.07039821776663882,0.133521
median,93,71,97,0.07039821776663882,0.132114
