strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
mean,218,8,,brute,38,0.37735718606861984,0.251636
mean,68,13,,ball_tree,37,0.37735718606861984,0.102315
mean,193,5,uniform,auto,44,0.39147869674185465,0.202903
most_frequent,163,7,distance,kd_tree,49,0.39676970203285994,0.132653
mean,138,15,uniform,brute,30,0.37735718606861984,0.243457
most_frequent,253,17,distance,brute,22,0.37735718606861984,0.300338
most_frequent,98,3,,brute,34,0.48470994572189585,0.326193
mean,178,16,distance,ball_tree,40,0.37735718606861984,0.102394
median,233,6,,kd_tree,27,0.39676970203285994,0.095493
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.130569
most_frequent,253,17,,ball_tree,22,0.37735718606861984,0.131397
most_frequent,163,7,,kd_tree,49,0.3799498746867168,0.129714
most_frequent,98,3,,brute,34,0.48470994572189585,0.304424
most_frequent,253,17,distance,brute,22,0.37735718606861984,0.301523
mean,138,15,,brute,30,0.37735718606861984,0.25285
mean,218,8,,brute,38,0.37735718606861984,0.237186
mean,233,5,uniform,auto,44,0.39692440978990684,0.224323
mean,233,5,uniform,auto,44,0.39692440978990684,0.21401
mean,218,6,,brute,38,0.39676970203285994,0.241211
mean,193,6,,auto,44,0.39676970203285994,0.24087
mean,193,5,distance,brute,44,0.39147869674185465,0.236368
most_frequent,218,7,distance,kd_tree,49,0.393984962406015,0.136522
most_frequent,178,16,,brute,34,0.37735718606861984,0.280899
mean,218,7,distance,kd_tree,49,0.393984962406015,0.092936
mean,68,13,,brute,34,0.37735718606861984,0.227192
mean,68,15,uniform,brute,30,0.37735718606861984,0.221005
most_frequent,218,8,,brute,38,0.37735718606861984,0.286636
mean,193,5,uniform,auto,37,0.39147869674185465,0.219532
mean,218,8,uniform,brute,38,0.37735718606861984,0.227919
mean,138,15,distance,brute,30,0.37735718606861984,0.223812
most_frequent,163,7,,brute,49,0.3799498746867168,0.303626
median,233,2,,kd_tree,27,0.41770846870262074,0.115793
mean,178,16,,brute,34,0.37735718606861984,0.226209
mean,218,3,,brute,38,0.4027445156100127,0.230513
most_frequent,248,2,,ball_tree,37,0.41770846870262074,0.14663
mean,68,2,,kd_tree,37,0.4059189854979329,0.068522
mean,163,7,distance,ball_tree,40,0.39676970203285994,0.063528
mean,178,16,distance,ball_tree,27,0.37735718606861984,0.07011
most_frequent,193,5,uniform,brute,22,0.39147869674185465,0.24356
most_frequent,98,3,,kd_tree,38,0.48470994572189585,0.108343
median,233,6,,ball_tree,27,0.39676970203285994,0.076943
most_frequent,163,7,distance,brute,49,0.39676970203285994,0.280694
mean,248,2,,ball_tree,37,0.41770846870262074,0.106269
mean,193,5,uniform,auto,38,0.39147869674185465,0.212014
mean,68,13,,ball_tree,40,0.37735718606861984,0.068011
median,233,16,distance,ball_tree,40,0.37735718606861984,0.071352
mean,218,3,,brute,38,0.4027445156100127,0.2292
mean,218,8,,auto,38,0.37735718606861984,0.235598
mean,193,5,distance,brute,38,0.39147869674185465,0.244356
most_frequent,218,8,,kd_tree,49,0.37735718606861984,0.150999
mean,248,2,,brute,38,0.41770846870262074,0.225003
mean,248,2,,ball_tree,37,0.41770846870262074,0.107527
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.115517
mean,248,5,distance,brute,37,0.39163340449890155,0.229288
mean,248,2,,ball_tree,37,0.41770846870262074,0.102187
most_frequent,248,2,,kd_tree,37,0.41770846870262074,0.113282
mean,218,3,,brute,38,0.4027445156100127,0.230994
mean,248,8,,brute,38,0.37735718606861984,0.239721
mean,218,2,,brute,38,0.41770846870262074,0.234139
mean,248,6,,auto,44,0.39676970203285994,0.235757
mean,218,8,,kd_tree,38,0.37735718606861984,0.095519
most_frequent,163,5,distance,brute,44,0.39432769959085745,0.264033
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.152896
mean,218,2,,brute,38,0.41770846870262074,0.229127
mean,248,2,,kd_tree,38,0.41770846870262074,0.108292
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.113288
mean,248,2,,ball_tree,37,0.41770846870262074,0.07003
mean,163,2,,ball_tree,37,0.4005548058179637,0.068254
mean,248,2,distance,ball_tree,37,0.4163157894736842,0.065392
mean,248,2,,auto,44,0.41770846870262074,0.225135
most_frequent,248,2,,auto,44,0.41770846870262074,0.318844
mean,193,6,,brute,38,0.39676970203285994,0.260461
mean,163,8,,brute,38,0.37735718606861984,0.24278
mean,218,2,,ball_tree,37,0.41770846870262074,0.102154
mean,193,6,,brute,44,0.39676970203285994,0.243619
most_frequent,163,2,,kd_tree,38,0.405936255643858,0.152744
most_frequent,218,3,,brute,38,0.4027445156100127,0.292765
most_frequent,163,7,,ball_tree,37,0.3799498746867168,0.142045
most_frequent,248,2,,auto,44,0.41770846870262074,0.295411
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.150622
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.109698
mean,248,2,,ball_tree,37,0.41770846870262074,0.069039
mean,248,2,,ball_tree,37,0.41770846870262074,0.069923
mean,248,2,,kd_tree,38,0.41770846870262074,0.071387
mean,248,2,,ball_tree,37,0.41770846870262074,0.068943
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.112754
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.109604
mean,248,2,,kd_tree,38,0.41770846870262074,0.072261
mean,248,2,,kd_tree,38,0.41770846870262074,0.071166
mean,248,2,,ball_tree,37,0.41770846870262074,0.072962
most_frequent,248,2,,ball_tree,37,0.41770846870262074,0.114795
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.127719
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.110532
mean,248,2,,auto,37,0.41770846870262074,0.219683
most_frequent,248,2,,ball_tree,37,0.41770846870262074,0.155645
mean,248,2,,auto,37,0.41770846870262074,0.260144
mean,248,2,,kd_tree,38,0.41770846870262074,0.121278
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.14077
mean,248,2,,ball_tree,37,0.41770846870262074,0.115714
mean,248,2,,kd_tree,37,0.41770846870262074,0.088131
mean,248,2,,auto,37,0.41770846870262074,0.2486
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.179281
most_frequent,248,2,,ball_tree,37,0.41770846870262074,0.133164
mean,248,2,,auto,44,0.41770846870262074,0.248826
mean,248,2,,ball_tree,37,0.41770846870262074,0.114721
mean,248,2,,kd_tree,37,0.41770846870262074,0.090147
most_frequent,248,2,,kd_tree,37,0.41770846870262074,0.133376
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.127809
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.110699
mean,248,2,,ball_tree,37,0.41770846870262074,0.069579
most_frequent,248,2,,ball_tree,37,0.41770846870262074,0.106064
mean,248,2,,ball_tree,37,0.41770846870262074,0.070293
mean,248,2,,ball_tree,37,0.41770846870262074,0.069913
mean,248,2,,ball_tree,37,0.41770846870262074,0.073468
most_frequent,248,2,,kd_tree,38,0.41770846870262074,0.11257
mean,248,2,,kd_tree,37,0.41770846870262074,0.071636
mean,248,2,,auto,38,0.41770846870262074,0.233354
most_frequent,248,2,,ball_tree,37,0.41770846870262074,0.141188
most_frequent,248,2,,ball_tree,37,0.41770846870262074,0.107155
