strategy,k,n_neighbors,weights,algorithm,leaf_size,f1,elapsed_time
most_frequent,178,19,,auto,13,0.37836257309941523,0.295578
mean,183,6,,kd_tree,30,0.37836257309941523,0.106434
mean,118,17,,kd_tree,18,0.37836257309941523,0.070869
mean,213,7,,ball_tree,35,0.37836257309941523,0.107703
mean,183,12,distance,auto,47,0.37836257309941523,0.081988
mean,228,14,distance,brute,43,0.37836257309941523,0.101796
median,163,9,,kd_tree,40,0.381302020483307,0.106807
median,148,2,distance,kd_tree,35,0.5634447229184072,0.079533
mean,33,4,,ball_tree,22,0.4297183985605038,0.071136
mean,168,9,,ball_tree,39,0.381302020483307,0.068256
mean,228,19,,brute,43,0.37836257309941523,0.084961
mean,178,19,,kd_tree,18,0.37836257309941523,0.098121
median,33,4,distance,kd_tree,35,0.41638630392406134,0.064083
mean,163,9,,ball_tree,35,0.381302020483307,0.065551
median,148,2,,kd_tree,35,0.3913480281901335,0.080339
mean,183,9,,ball_tree,39,0.37836257309941523,0.070044
mean,168,9,,kd_tree,40,0.381302020483307,0.069801
mean,118,17,,kd_tree,18,0.37836257309941523,0.070516
median,163,9,,ball_tree,40,0.381302020483307,0.079979
mean,213,7,,ball_tree,35,0.37836257309941523,0.071419
mean,168,9,,brute,39,0.381302020483307,0.088965
median,163,9,distance,kd_tree,40,0.381302020483307,0.0976
mean,118,17,,kd_tree,18,0.37836257309941523,0.064044
mean,168,9,distance,ball_tree,39,0.381302020483307,0.052397
mean,163,9,,kd_tree,40,0.381302020483307,0.062441
most_frequent,178,19,,auto,47,0.37836257309941523,0.130732
median,213,7,,kd_tree,40,0.37836257309941523,0.115333
mean,33,4,,ball_tree,30,0.4297183985605038,0.063693
median,163,9,distance,auto,40,0.381302020483307,0.080495
mean,228,9,,kd_tree,40,0.37836257309941523,0.101933
most_frequent,178,19,distance,auto,13,0.37836257309941523,0.169181
mean,168,2,distance,kd_tree,35,0.5238933191564771,0.093181
mean,33,4,,ball_tree,47,0.4297183985605038,0.057556
mean,33,4,,kd_tree,40,0.4297183985605038,0.058848
mean,213,7,,ball_tree,35,0.37836257309941523,0.066618
median,168,9,,kd_tree,40,0.381302020483307,0.073624
most_frequent,213,7,,auto,13,0.37836257309941523,0.119955
mean,163,9,,kd_tree,35,0.381302020483307,0.097593
median,163,14,distance,kd_tree,40,0.37836257309941523,0.064915
mean,228,9,,brute,43,0.37836257309941523,0.075159
mean,213,7,,ball_tree,47,0.37836257309941523,0.070575
mean,163,9,,kd_tree,18,0.381302020483307,0.07447
most_frequent,178,9,,auto,13,0.37836257309941523,0.105912
mean,118,17,,kd_tree,18,0.37836257309941523,0.077659
mean,183,6,,kd_tree,30,0.37836257309941523,0.069252
mean,168,7,,ball_tree,39,0.3990562826820137,0.059565
mean,183,12,distance,auto,47,0.37836257309941523,0.071989
mean,168,2,,brute,39,0.3936800119958015,0.100497
mean,228,9,,kd_tree,40,0.37836257309941523,0.082068
mean,168,9,,ball_tree,47,0.381302020483307,0.05935
median,168,7,,ball_tree,35,0.3990562826820137,0.0691
mean,228,2,,kd_tree,35,0.4171334318702741,0.064784
mean,118,17,,ball_tree,18,0.37836257309941523,0.060651
mean,168,17,,kd_tree,39,0.37836257309941523,0.068884
median,148,2,,kd_tree,35,0.3913480281901335,0.078871
mean,183,12,distance,kd_tree,47,0.37836257309941523,0.056281
mean,168,9,,ball_tree,18,0.381302020483307,0.061162
mean,168,9,,ball_tree,39,0.381302020483307,0.058994
mean,118,17,,kd_tree,18,0.37836257309941523,0.061002
mean,168,7,,ball_tree,39,0.3990562826820137,0.059225
mean,168,9,,auto,39,0.381302020483307,0.076635
mean,118,17,,ball_tree,39,0.37836257309941523,0.09297
median,228,9,,kd_tree,35,0.37836257309941523,0.074737
mean,183,12,,kd_tree,18,0.37836257309941523,0.065293
mean,228,9,,kd_tree,18,0.37836257309941523,0.068991
mean,168,9,,ball_tree,39,0.381302020483307,0.059523
mean,168,7,,ball_tree,39,0.3990562826820137,0.058507
mean,33,4,,kd_tree,40,0.4297183985605038,0.057008
mean,33,4,distance,ball_tree,47,0.41638630392406134,0.055442
mean,183,12,,ball_tree,39,0.37836257309941523,0.061564
mean,168,9,,ball_tree,39,0.381302020483307,0.058094
mean,168,7,,ball_tree,39,0.3990562826820137,0.058998
median,148,7,,ball_tree,35,0.40131192177975805,0.065733
mean,33,12,distance,ball_tree,47,0.39123283041411694,0.05315
mean,118,7,,ball_tree,18,0.4170366562179428,0.058552
median,148,7,distance,kd_tree,35,0.4333428538106901,0.064006
median,168,2,,kd_tree,35,0.3913480281901335,0.068367
mean,183,12,,ball_tree,47,0.37836257309941523,0.059324
mean,168,7,,kd_tree,40,0.3990562826820137,0.06281
mean,228,9,distance,auto,40,0.37836257309941523,0.065333
median,148,2,,kd_tree,35,0.3913480281901335,0.077432
median,183,12,,kd_tree,35,0.37836257309941523,0.077114
mean,118,17,,ball_tree,18,0.37836257309941523,0.059286
mean,168,9,,ball_tree,39,0.381302020483307,0.05904
median,148,2,,kd_tree,39,0.3913480281901335,0.071639
mean,183,12,distance,ball_tree,47,0.37836257309941523,0.058057
mean,183,12,,ball_tree,47,0.37836257309941523,0.062952
median,148,2,distance,kd_tree,35,0.5634447229184072,0.066992
mean,148,2,distance,kd_tree,18,0.5537023718717082,0.062104
median,183,12,,ball_tree,35,0.37836257309941523,0.070871
median,33,2,distance,kd_tree,35,0.44792463151730894,0.061965
mean,33,4,,ball_tree,47,0.4297183985605038,0.061003
median,148,2,,kd_tree,39,0.3913480281901335,0.072929
mean,168,4,distance,ball_tree,47,0.45785558387897574,0.058338
mean,168,2,,kd_tree,39,0.3936800119958015,0.063799
median,148,2,,kd_tree,35,0.3913480281901335,0.072555
mean,148,2,,ball_tree,18,0.3913480281901335,0.062974
mean,33,12,,ball_tree,47,0.3966142802400112,0.059992
mean,183,12,distance,kd_tree,47,0.37836257309941523,0.059792
mean,33,2,distance,kd_tree,35,0.44792463151730894,0.059224
mean,33,4,,kd_tree,47,0.4297183985605038,0.060474
median,148,2,distance,kd_tree,39,0.5634447229184072,0.066034
median,148,2,distance,kd_tree,35,0.5634447229184072,0.0685
mean,33,4,,ball_tree,47,0.4297183985605038,0.060734
mean,148,2,distance,kd_tree,47,0.5537023718717082,0.0602
mean,148,4,,ball_tree,47,0.43311674247346765,0.064071
median,148,2,,ball_tree,35,0.3913480281901335,0.068294
median,148,2,distance,kd_tree,35,0.5634447229184072,0.063594
mean,33,2,distance,kd_tree,35,0.44792463151730894,0.052112
mean,183,12,,brute,39,0.37836257309941523,0.073516
median,148,2,distance,kd_tree,39,0.5634447229184072,0.085492
median,148,2,,kd_tree,39,0.3913480281901335,0.067763
mean,168,2,,kd_tree,39,0.3936800119958015,0.06145
mean,183,2,distance,kd_tree,47,0.5181885874105554,0.053775
mean,33,4,,kd_tree,35,0.4297183985605038,0.058328
mean,168,2,,kd_tree,39,0.3936800119958015,0.061272
mean,148,2,,ball_tree,47,0.3913480281901335,0.058063
mean,148,12,,ball_tree,47,0.37836257309941523,0.058805
mean,168,2,,brute,35,0.3936800119958015,0.07549
mean,168,2,,brute,39,0.3936800119958015,0.084434
