strategy,k,penalty,c,solver,f1,elapsed_time
most_frequent,268,l2,2,newton-cholesky,0.5135132517283546,1.807827
median,218,l2,18,newton-cg,0.5545000731957254,0.348171
median,223,l2,3,saga,0.5330365128507543,0.745926
most_frequent,48,,4,lbfgs,0.5068727373990531,0.134491
mean,133,,4,newton-cholesky,0.5926659240694329,0.448386
most_frequent,228,,6,lbfgs,0.5484451870416784,0.1453
most_frequent,158,l2,2,lbfgs,0.5442446696451274,0.270066
mean,18,,14,lbfgs,0.4846114412015291,0.124973
most_frequent,58,l2,1,lbfgs,0.5259720980773613,0.21022
median,248,,12,lbfgs,0.5484451870416784,0.121306
median,48,,4,lbfgs,0.5068727373990531,0.108409
most_frequent,58,l2,6,lbfgs,0.5307359307359307,0.209265
most_frequent,18,,14,lbfgs,0.4846114412015291,0.160547
most_frequent,58,l2,2,lbfgs,0.5307359307359307,0.215346
most_frequent,228,,18,newton-cg,0.548806799607715,0.201817
mean,18,,14,lbfgs,0.4846114412015291,0.125921
median,268,l2,2,lbfgs,0.5539180626137148,0.334934
most_frequent,158,,4,lbfgs,0.5591682910981157,0.138583
most_frequent,58,l2,1,lbfgs,0.5259720980773613,0.209866
median,158,l2,18,newton-cg,0.5479892088587741,0.355232
median,223,l2,14,saga,0.5330365128507543,0.756342
median,248,,12,lbfgs,0.5484451870416784,0.126961
most_frequent,48,,12,lbfgs,0.5068727373990531,0.137466
most_frequent,48,,12,lbfgs,0.5068727373990531,0.142673
median,248,,12,lbfgs,0.5484451870416784,0.119821
most_frequent,58,l2,2,lbfgs,0.5307359307359307,0.208065
mean,18,,4,lbfgs,0.4846114412015291,0.126682
most_frequent,223,l2,3,saga,0.5498224864994732,0.783269
most_frequent,58,l2,2,newton-cholesky,0.5518833315171988,0.284623
median,18,,14,lbfgs,0.4846114412015291,0.136394
most_frequent,268,,12,lbfgs,0.5484451870416784,0.15068
most_frequent,228,,12,lbfgs,0.5484451870416784,0.143945
mean,133,,4,lbfgs,0.5165955629292764,0.09953
mean,18,l2,2,lbfgs,0.5192799852067587,0.122367
most_frequent,158,,4,lbfgs,0.5591682910981157,0.135241
median,48,,4,lbfgs,0.5068727373990531,0.107242
most_frequent,158,,2,lbfgs,0.5591682910981157,0.133249
most_frequent,268,l2,2,saga,0.5498224864994732,0.908632
most_frequent,58,l2,12,lbfgs,0.5456565656565657,0.206133
most_frequent,268,l2,2,lbfgs,0.5539180626137148,0.331192
most_frequent,268,l2,4,lbfgs,0.5479921366877889,0.33351
most_frequent,228,,4,lbfgs,0.5484451870416784,0.144151
mean,228,,6,lbfgs,0.5363915021046981,0.132031
median,248,,4,lbfgs,0.5484451870416784,0.122282
most_frequent,18,,14,lbfgs,0.4846114412015291,0.159206
mean,133,,4,newton-cholesky,0.5926659240694329,0.449073
most_frequent,228,,6,lbfgs,0.5484451870416784,0.144608
median,248,,12,lbfgs,0.5484451870416784,0.122044
most_frequent,158,,2,lbfgs,0.5591682910981157,0.134868
most_frequent,218,l2,2,saga,0.5461914044370185,0.755661
most_frequent,58,l2,14,lbfgs,0.5456565656565657,0.206261
median,248,l2,12,lbfgs,0.5479921366877889,0.303901
most_frequent,268,l2,2,lbfgs,0.5539180626137148,0.332014
median,218,l2,18,lbfgs,0.5545000731957254,0.279224
most_frequent,158,,2,saga,0.549485751415576,0.578708
most_frequent,18,,14,lbfgs,0.4846114412015291,0.159806
most_frequent,248,l2,1,lbfgs,0.5539180626137148,0.327292
most_frequent,58,l2,4,newton-cholesky,0.5467993655636676,0.292617
median,158,,14,saga,0.5400013650684445,0.561043
median,268,l2,2,lbfgs,0.5539180626137148,0.309538
median,218,l2,2,newton-cg,0.5582037768994291,0.341728
most_frequent,268,,2,saga,0.5498224864994732,0.925778
median,248,,18,newton-cg,0.548806799607715,0.173526
median,218,,12,newton-cg,0.5476956884966039,0.207417
most_frequent,18,,14,saga,0.49838114169921954,0.155751
most_frequent,158,l2,14,lbfgs,0.5479892088587741,0.270908
median,218,l2,2,lbfgs,0.5582037768994291,0.280871
median,268,l2,14,saga,0.5330365128507543,0.882912
median,223,l2,12,lbfgs,0.5479921366877889,0.28283
median,133,,4,saga,0.5355308561258216,0.475986
most_frequent,58,l2,2,lbfgs,0.5307359307359307,0.207476
median,223,l2,1,saga,0.5388259865349648,0.749694
median,248,l2,2,lbfgs,0.5539180626137148,0.305859
most_frequent,18,l2,18,newton-cg,0.510305144918148,0.218193
median,133,,12,lbfgs,0.5147437110774246,0.110597
median,248,l2,12,lbfgs,0.5479921366877889,0.305495
median,248,,2,lbfgs,0.5484451870416784,0.126012
mean,133,l2,2,newton-cholesky,0.5568927368927369,0.561508
most_frequent,248,l2,2,saga,0.5498224864994732,0.860369
median,58,l2,14,saga,0.5376235200796604,0.245218
median,223,l2,14,lbfgs,0.5502143589100111,0.277908
most_frequent,218,l2,1,lbfgs,0.5576217663174186,0.306402
mean,133,,18,newton-cg,0.5284494063441432,0.181628
mean,58,l2,4,newton-cholesky,0.527116825881128,0.262212
median,268,l2,2,lbfgs,0.5539180626137148,0.311938
median,158,,2,newton-cg,0.5468732620601423,0.183103
most_frequent,158,l2,2,lbfgs,0.5442446696451274,0.292027
median,268,l2,2,newton-cg,0.5539180626137148,0.347615
median,218,l2,18,newton-cg,0.5545000731957254,0.352122
most_frequent,218,l2,18,newton-cg,0.5545000731957254,0.360915
most_frequent,218,l2,18,lbfgs,0.5545000731957254,0.303037
median,218,l2,2,lbfgs,0.5582037768994291,0.280014
median,268,l2,2,newton-cg,0.5539180626137148,0.350924
median,218,l2,18,newton-cg,0.5545000731957254,0.35438
most_frequent,158,,2,lbfgs,0.5591682910981157,0.138823
most_frequent,158,,2,lbfgs,0.5591682910981157,0.136906
median,268,l2,2,lbfgs,0.5539180626137148,0.309542
median,218,l2,2,lbfgs,0.5582037768994291,0.282832
median,218,l2,2,newton-cg,0.5582037768994291,0.336587
median,218,,2,lbfgs,0.5484451870416784,0.119261
median,218,l2,18,lbfgs,0.5545000731957254,0.277421
most_frequent,248,l2,2,lbfgs,0.5539180626137148,0.322724
most_frequent,218,l2,2,lbfgs,0.5582037768994291,0.307048
median,248,l2,18,newton-cg,0.5502143589100111,0.347319
median,248,l2,18,lbfgs,0.5502143589100111,0.295576
median,218,l2,18,newton-cg,0.5545000731957254,0.349673
most_frequent,158,,18,newton-cg,0.5357621509490311,0.210381
median,218,l2,18,newton-cg,0.5545000731957254,0.352784
median,268,l2,18,newton-cg,0.5502143589100111,0.329107
median,218,l2,2,lbfgs,0.5582037768994291,0.282133
most_frequent,158,l2,2,lbfgs,0.5442446696451274,0.273952
most_frequent,248,l2,2,lbfgs,0.5539180626137148,0.322471
median,218,l2,2,newton-cg,0.5582037768994291,0.3357
