strategy,k,penalty,c,solver,f1,elapsed_time
most_frequent,103,,10,newton-cholesky,0.5043606490974912,0.360176
most_frequent,68,,15,saga,0.551041679737332,0.316792
mean,178,l2,19,lbfgs,0.5149018351764346,0.253504
mean,258,l2,7,newton-cholesky,0.52735270323371,1.809971
median,153,,9,lbfgs,0.5265570614904307,0.110902
median,88,l2,9,newton-cg,0.535036328194223,0.27453
most_frequent,153,,10,newton-cholesky,0.5823872886725671,0.463643
median,18,l2,2,lbfgs,0.5052708390008162,0.1329
mean,48,,10,lbfgs,0.44308688387635764,0.099954
median,3,l2,11,sag,0.4263274520584462,0.084049
median,18,l2,9,newton-cg,0.5221103483346046,0.162935
most_frequent,48,,10,lbfgs,0.44308688387635764,0.133234
median,3,l2,11,lbfgs,0.4102509359819301,0.108627
mean,48,l2,11,sag,0.5036331166079451,0.178328
median,153,l2,9,lbfgs,0.5342896107198166,0.250096
mean,178,l2,19,lbfgs,0.5149018351764346,0.248108
mean,88,l2,9,lbfgs,0.535036328194223,0.190871
most_frequent,153,,9,saga,0.5414893293840662,0.572281
median,3,l2,11,sag,0.4263274520584462,0.085313
median,258,l2,9,newton-cg,0.5211118045442988,0.376183
mean,48,,10,newton-cholesky,0.4824674704189668,0.247063
mean,178,l2,10,lbfgs,0.5149018351764346,0.248072
mean,68,,10,lbfgs,0.534585134333418,0.102116
most_frequent,3,l2,11,newton-cholesky,0.4263274520584462,0.189422
median,3,l2,7,sag,0.4263274520584462,0.083511
mean,48,,10,lbfgs,0.44308688387635764,0.099417
most_frequent,48,,10,lbfgs,0.44308688387635764,0.13447
median,3,,10,newton-cholesky,0.4319684776994718,0.178926
median,103,l2,11,sag,0.5491643249537986,0.317259
median,3,l2,7,newton-cholesky,0.4263274520584462,0.160825
median,3,l2,19,lbfgs,0.4102509359819301,0.121239
most_frequent,68,,15,lbfgs,0.534585134333418,0.135467
most_frequent,18,l2,2,saga,0.5195864056275956,0.154535
most_frequent,68,,10,newton-cholesky,0.5074478466698146,0.307035
median,18,l2,10,lbfgs,0.5184066446309009,0.148476
median,153,,9,lbfgs,0.5265570614904307,0.114744
mean,178,,19,lbfgs,0.5198571527633312,0.106668
median,48,,9,lbfgs,0.44308688387635764,0.111925
mean,18,l2,19,lbfgs,0.5356925471341947,0.141101
most_frequent,153,,9,newton-cholesky,0.5823872886725671,0.44086
median,153,,9,newton-cg,0.5317702578800978,0.190865
most_frequent,153,,2,lbfgs,0.5265570614904307,0.137865
median,153,l2,19,lbfgs,0.5342896107198166,0.240598
median,153,,11,sag,0.5554765041721563,0.4418
mean,178,l2,11,lbfgs,0.5149018351764346,0.249613
median,88,l2,9,newton-cg,0.535036328194223,0.271658
median,88,,9,newton-cg,0.5189460365890571,0.19753
most_frequent,68,,19,lbfgs,0.534585134333418,0.137384
median,103,l2,9,newton-cg,0.5406789481389024,0.310984
most_frequent,68,,9,newton-cg,0.5234280144806461,0.305146
median,88,l2,9,newton-cg,0.535036328194223,0.272515
median,88,l2,9,newton-cg,0.535036328194223,0.274248
mean,68,,15,lbfgs,0.534585134333418,0.101361
most_frequent,153,,9,lbfgs,0.5265570614904307,0.139417
mean,68,,10,lbfgs,0.534585134333418,0.101753
median,103,l2,11,sag,0.5491643249537986,0.320607
most_frequent,68,,15,lbfgs,0.534585134333418,0.137311
most_frequent,68,,11,lbfgs,0.534585134333418,0.135722
median,88,,15,newton-cg,0.5189460365890571,0.201999
most_frequent,153,l2,9,saga,0.5480769446673337,0.568236
most_frequent,68,,15,lbfgs,0.534585134333418,0.136074
median,88,l2,9,newton-cg,0.535036328194223,0.273343
mean,153,,10,lbfgs,0.5282204853371901,0.101046
most_frequent,88,l2,9,newton-cg,0.5483696615275562,0.299066
median,103,,15,lbfgs,0.537290195184932,0.111403
median,153,,9,sag,0.5554765041721563,0.446833
median,88,l2,10,lbfgs,0.5483696615275562,0.223231
median,68,,15,newton-cg,0.5234280144806461,0.29495
most_frequent,153,,9,saga,0.5414893293840662,0.581548
most_frequent,153,l2,19,saga,0.5414893293840662,0.568753
median,68,l2,11,sag,0.5318505200198563,0.233883
median,103,l2,9,newton-cg,0.5406789481389024,0.310733
median,103,l2,9,sag,0.5491643249537986,0.317681
median,88,,9,newton-cg,0.5189460365890571,0.199037
median,88,,9,newton-cg,0.5189460365890571,0.201721
median,88,l2,9,newton-cg,0.535036328194223,0.276488
