Individuo,Tempo de execucao,Accuracy,F1 Score
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 26}, 'classifier_params': {'C': 1.614808249784854, 'kernel': 'poly', 'gamma': 'auto', 'tol': 0.0001, 'random_state': 42}}",0.055322885513305664,0.6153846153846154,0.676450564993705
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 47}, 'classifier_params': {'C': 0.7318053246109129, 'kernel': 'sigmoid', 'gamma': 'scale', 'tol': 0.001, 'random_state': 42}}",0.03155231475830078,0.5384615384615384,0.37692307692307697
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 27}, 'classifier_params': {'C': 0.6233420126067111, 'kernel': 'poly', 'gamma': 'scale', 'tol': 1e-06, 'random_state': 42}}",0.01604628562927246,0.6263736263736264,0.5097782624500181
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 48}, 'classifier_params': {'C': 1.2717580223272982, 'kernel': 'rbf', 'gamma': 'auto', 'tol': 0.0001, 'random_state': 42}}",0.04854249954223633,0.5384615384615384,0.37692307692307697
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.4428508587908647}, 'feature_selection_params': {'k': 42}, 'classifier_params': {'C': 1.7608291327490282, 'kernel': 'sigmoid', 'gamma': 'auto', 'tol': 1e-06, 'random_state': 42}}",0.01774144172668457,0.6373626373626373,0.587351863822452
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 43}, 'classifier_params': {'C': 0.20811839403261176, 'kernel': 'linear', 'gamma': 'scale', 'tol': 1e-05, 'random_state': 42}}",0.2807645797729492,0.7252747252747253,0.7396201039725739
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 33}, 'classifier_params': {'C': 1.3305478371100412, 'kernel': 'linear', 'gamma': 'auto', 'tol': 0.0001, 'random_state': 42}}",0.4892699718475342,0.6923076923076923,0.7190765954117088
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.5046447151216397}, 'feature_selection_params': {'k': 23}, 'classifier_params': {'C': 1.7170337682445478, 'kernel': 'sigmoid', 'gamma': 'scale', 'tol': 0.001, 'random_state': 42}}",0.017052412033081055,0.5604395604395604,0.5926854395604395
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 12}, 'classifier_params': {'C': 0.8458560897504709, 'kernel': 'sigmoid', 'gamma': 'scale', 'tol': 0.0001, 'random_state': 42}}",0.019057035446166992,0.5714285714285714,0.43153051328233816
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 13}, 'classifier_params': {'C': 0.5155736309304048, 'kernel': 'rbf', 'gamma': 'scale', 'tol': 1e-06, 'random_state': 42}}",0.03209996223449707,0.6263736263736264,0.5079286522301228
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 10}, 'classifier_params': {'C': 1.5017798629213184, 'kernel': 'poly', 'gamma': 'auto', 'tol': 1e-06, 'random_state': 42}}",0.01604151725769043,0.6263736263736264,0.548537428296576
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 43}, 'classifier_params': {'C': 1.9365362902894199, 'kernel': 'poly', 'gamma': 'scale', 'tol': 1e-07, 'random_state': 42}}",0.03155374526977539,0.6043956043956044,0.5888988401924286
