strategy,k,kernel,c,degree,f1,elapsed_time
median,278,poly,4,7,0.4045267489711934,0.113903
most_frequent,33,poly,13,4,0.4477394816576103,0.106153
mean,33,poly,2,8,0.42694176085988955,0.061962
median,173,linear,16,6,0.5243358006515901,0.078964
mean,268,rbf,9,12,0.41725824532842076,0.088801
mean,113,linear,13,11,0.5341579189519693,0.067507
mean,198,sigmoid,4,14,0.5251590599416687,0.069482
mean,123,rbf,5,11,0.42220358588779644,0.077684
mean,208,poly,10,4,0.40208474652919096,0.105312
median,48,rbf,1,7,0.39414626309363154,0.075694
mean,113,poly,4,7,0.42707623760255337,0.076161
median,48,poly,13,7,0.44175657567470433,0.073848
mean,33,poly,2,8,0.42694176085988955,0.062083
mean,33,poly,2,4,0.4443206782388069,0.060569
mean,268,poly,4,7,0.4045267489711934,0.096121
mean,48,sigmoid,4,14,0.482450459109498,0.061755
median,123,rbf,5,11,0.4145112781954888,0.08223
most_frequent,123,poly,13,4,0.4214686764394367,0.115589
median,208,poly,10,4,0.4046488490932935,0.090445
mean,113,linear,5,11,0.5341579189519693,0.068256
median,48,rbf,5,11,0.45169580212143146,0.077067
median,173,linear,4,6,0.5243358006515901,0.078936
mean,33,poly,13,11,0.44175657567470433,0.061373
mean,198,poly,4,14,0.4045267489711934,0.082584
mean,198,linear,16,14,0.5188552188552189,0.069987
mean,123,rbf,1,7,0.39676970203285994,0.082847
median,278,poly,4,4,0.40746619635508524,0.102287
mean,48,rbf,1,7,0.39414626309363154,0.066804
median,48,rbf,1,11,0.39414626309363154,0.074559
median,48,rbf,16,6,0.4469522514945856,0.074598
mean,33,poly,1,8,0.42694176085988955,0.059504
median,173,linear,1,7,0.5243358006515901,0.077031
mean,33,poly,1,7,0.44175657567470433,0.060335
median,48,rbf,4,14,0.4357067026540712,0.074946
mean,33,sigmoid,4,14,0.4799984150098567,0.061011
mean,33,rbf,2,8,0.45262391496309623,0.06447
mean,208,poly,4,7,0.4045267489711934,0.085143
mean,208,poly,10,6,0.40746619635508524,0.087688
mean,268,rbf,9,7,0.41725824532842076,0.08873
mean,208,linear,13,11,0.5298858146684233,0.068644
median,48,sigmoid,4,14,0.482450459109498,0.070924
mean,208,sigmoid,10,4,0.5206502862338102,0.06905
mean,208,poly,13,11,0.4045267489711934,0.084805
mean,33,poly,13,11,0.44175657567470433,0.062051
mean,48,sigmoid,13,11,0.48441503237841915,0.062084
median,48,sigmoid,4,6,0.482450459109498,0.070043
mean,173,linear,1,14,0.5243358006515901,0.069628
mean,33,sigmoid,1,14,0.39395973314101973,0.063355
mean,48,sigmoid,4,11,0.482450459109498,0.066779
mean,33,linear,1,7,0.45233888918099446,0.063834
mean,113,linear,1,11,0.5341579189519693,0.066294
mean,48,sigmoid,4,7,0.482450459109498,0.061955
mean,33,sigmoid,10,4,0.4314020651778089,0.061038
mean,113,sigmoid,4,14,0.47102360155500256,0.063976
median,113,linear,1,7,0.5337150848134831,0.074159
mean,113,poly,1,7,0.4076923076923077,0.072818
mean,48,sigmoid,10,4,0.48098253809924285,0.063192
median,113,linear,1,7,0.5337150848134831,0.073876
mean,48,linear,13,11,0.4880869770114621,0.087049
mean,33,poly,1,7,0.44175657567470433,0.061004
mean,208,poly,13,11,0.4045267489711934,0.083904
mean,113,linear,13,11,0.5341579189519693,0.070092
median,173,sigmoid,1,7,0.4504402030717821,0.0781
mean,33,linear,13,11,0.48302701197438036,0.094774
mean,173,linear,1,7,0.5243358006515901,0.068992
mean,33,sigmoid,4,7,0.4799984150098567,0.059739
mean,208,sigmoid,4,14,0.5171170746365255,0.069527
mean,113,linear,13,11,0.5341579189519693,0.068282
mean,208,poly,10,11,0.4045267489711934,0.087066
mean,113,linear,13,11,0.5341579189519693,0.066636
mean,113,linear,4,14,0.5341579189519693,0.066969
mean,33,poly,10,4,0.4477394816576103,0.062406
mean,33,linear,13,7,0.48302701197438036,0.094314
mean,33,sigmoid,13,14,0.429057426174131,0.062079
mean,33,poly,1,11,0.44175657567470433,0.060106
mean,113,linear,13,11,0.5341579189519693,0.067737
mean,113,linear,13,11,0.5341579189519693,0.066803
mean,113,linear,13,11,0.5341579189519693,0.068862
mean,33,linear,1,7,0.45233888918099446,0.066977
median,113,linear,10,7,0.5337150848134831,0.076624
mean,113,linear,1,14,0.5341579189519693,0.06696
mean,33,poly,1,7,0.44175657567470433,0.058525
mean,33,poly,1,14,0.4239428104925181,0.059242
mean,48,linear,4,14,0.4880869770114621,0.076406
mean,113,linear,1,11,0.5341579189519693,0.065547
mean,33,sigmoid,4,7,0.4799984150098567,0.061061
mean,173,linear,1,11,0.5243358006515901,0.069053
median,113,linear,1,7,0.5337150848134831,0.073552
mean,113,linear,13,11,0.5341579189519693,0.068043
mean,48,linear,13,11,0.4880869770114621,0.086076
mean,173,sigmoid,1,14,0.4504402030717821,0.068244
mean,33,sigmoid,4,14,0.4799984150098567,0.059867
mean,113,sigmoid,10,4,0.4887566632875558,0.070507
mean,113,linear,13,7,0.5341579189519693,0.069422
