strategy,k,kernel,c,degree,f1,elapsed_time
most_frequent,253,rbf,5,9,0.4557067345269735,0.122304
median,118,linear,14,3,0.5595699943754864,0.07624
most_frequent,218,sigmoid,19,6,0.6143069795701374,0.10412
median,153,poly,9,4,0.4779577147998201,0.090892
mean,263,rbf,7,10,0.4557067345269735,0.084045
mean,93,rbf,6,4,0.4915435170812745,0.073875
mean,238,sigmoid,10,14,0.6131069879353632,0.07106
most_frequent,243,sigmoid,10,8,0.5925556094892479,0.104795
most_frequent,228,poly,9,19,0.39805089565121826,0.11732
most_frequent,208,poly,16,5,0.41116990005878895,0.121167
mean,263,rbf,6,4,0.4557067345269735,0.086447
most_frequent,228,poly,9,19,0.39805089565121826,0.115394
most_frequent,228,rbf,9,19,0.4454007763949285,0.115778
most_frequent,243,rbf,10,8,0.4454007763949285,0.115211
mean,93,rbf,7,4,0.47510926906807915,0.07215
most_frequent,253,rbf,5,6,0.4557067345269735,0.125241
most_frequent,253,rbf,5,6,0.4557067345269735,0.121088
most_frequent,253,rbf,10,8,0.4557067345269735,0.122259
most_frequent,228,rbf,7,19,0.4454007763949285,0.114225
mean,228,poly,7,10,0.39805089565121826,0.090404
mean,238,sigmoid,10,6,0.6131069879353632,0.073503
most_frequent,228,poly,9,19,0.39805089565121826,0.115969
median,153,linear,14,4,0.5367630428728827,0.076547
most_frequent,218,rbf,19,6,0.43906552996306375,0.124978
median,238,sigmoid,10,3,0.5925556094892479,0.079466
most_frequent,228,poly,9,3,0.4632071632071632,0.114205
mean,238,sigmoid,10,8,0.6131069879353632,0.070523
most_frequent,228,sigmoid,10,19,0.5925556094892479,0.1048
mean,93,sigmoid,10,8,0.5773588560773917,0.065516
mean,238,poly,9,14,0.39805089565121826,0.09196
mean,118,rbf,7,10,0.49018319675070254,0.074385
most_frequent,228,rbf,6,4,0.4454007763949285,0.1159
median,153,poly,10,8,0.40916200676232944,0.095308
most_frequent,153,poly,16,5,0.4454474267339764,0.118182
median,118,poly,9,3,0.47665150530647615,0.080679
mean,243,sigmoid,10,8,0.6131069879353632,0.069786
most_frequent,253,rbf,9,4,0.4557067345269735,0.119369
most_frequent,228,poly,5,9,0.39805089565121826,0.11974
mean,218,sigmoid,19,10,0.6143069795701374,0.069792
most_frequent,218,sigmoid,10,8,0.6310673477721532,0.102888
most_frequent,228,poly,6,4,0.4285488174377063,0.120346
