Individuo,Tempo de execucao,Accuracy,F1 Score
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.3308147342898683}, 'feature_selection_params': {'k': 42}, 'classifier_params': {'max_depth': 10, 'min_samples_split': 9, 'random_state': 42}}",0.03196883201599121,0.6593406593406593,0.6376667015009367
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 16}, 'classifier_params': {'max_depth': 5, 'min_samples_split': 2, 'random_state': 42}}",0.050435781478881836,0.5934065934065934,0.6690856152394614
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.6876898195149151}, 'feature_selection_params': {'k': 36}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 11, 'random_state': 42}}",0.021446704864501953,0.5824175824175825,0.5486239424292522
"{'scaler_params': {'with_mean': False, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.5343413562339686}, 'feature_selection_params': {'k': 46}, 'classifier_params': {'max_depth': 8, 'min_samples_split': 9, 'random_state': 42}}",0.027002334594726562,0.6813186813186813,0.658218079947052
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.6616176349896231}, 'feature_selection_params': {'k': 41}, 'classifier_params': {'max_depth': 2, 'min_samples_split': 19, 'random_state': 42}}",0.02105855941772461,0.5824175824175825,0.5486239424292522
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.6889706210489903}, 'feature_selection_params': {'k': 47}, 'classifier_params': {'max_depth': 1, 'min_samples_split': 14, 'random_state': 42}}",0.020028352737426758,0.5494505494505495,0.42855581918081925
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'median', 'fill_value': None}, 'feature_selection_params': {'k': 11}, 'classifier_params': {'max_depth': 1, 'min_samples_split': 10, 'random_state': 42}}",0.02351832389831543,0.5494505494505495,0.42855581918081925
"{'scaler_params': {'with_mean': True, 'with_std': False}, 'imputer_params': {'strategy': 'constant', 'fill_value': 0.5024042758946765}, 'feature_selection_params': {'k': 50}, 'classifier_params': {'max_depth': 9, 'min_samples_split': 14, 'random_state': 42}}",0.029567241668701172,0.6703296703296703,0.6867895085184805
"{'scaler_params': {'with_mean': False, 'with_std': True}, 'imputer_params': {'strategy': 'mean', 'fill_value': None}, 'feature_selection_params': {'k': 20}, 'classifier_params': {'max_depth': 7, 'min_samples_split': 13, 'random_state': 42}}",0.022980451583862305,0.6813186813186813,0.7046496331326052
"{'scaler_params': {'with_mean': True, 'with_std': True}, 'imputer_params': {'strategy': 'most_frequent', 'fill_value': None}, 'feature_selection_params': {'k': 33}, 'classifier_params': {'max_depth': 4, 'min_samples_split': 14, 'random_state': 42}}",0.05468010902404785,0.6703296703296703,0.6769844190896822
