strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
median,73,16,16,17,18,0.37735718606861984,0.281034
median,88,31,4,5,7,0.38944509815653194,0.5119
median,178,16,18,17,3,0.43405827008166187,0.308134
mean,23,86,15,17,14,0.37735718606861984,0.672733
most_frequent,193,26,13,9,6,0.38007197480881694,0.327114
most_frequent,148,86,4,15,9,0.37735718606861984,0.751024
most_frequent,58,61,18,11,6,0.41004836320424143,0.60009
most_frequent,223,21,4,19,2,0.40343971038707876,0.276598
most_frequent,158,71,16,13,13,0.37735718606861984,0.658678
mean,103,61,12,16,14,0.37735718606861984,0.525722
mean,193,26,13,9,14,0.37735718606861984,0.284881
most_frequent,58,86,18,11,6,0.41004836320424143,0.807153
most_frequent,103,61,12,16,9,0.37735718606861984,0.600749
mean,23,86,4,19,14,0.37735718606861984,0.660571
median,88,31,16,17,18,0.37735718606861984,0.282839
median,158,71,16,17,18,0.37735718606861984,0.60221
mean,103,86,15,16,14,0.37735718606861984,0.692069
median,103,61,12,16,14,0.37735718606861984,0.533009
most_frequent,58,61,4,11,6,0.41004836320424143,0.570507
median,178,16,18,11,6,0.3799212886327224,0.221838
median,178,16,18,17,13,0.37735718606861984,0.206467
median,178,16,18,17,3,0.43405827008166187,0.223125
median,58,61,18,11,18,0.37735718606861984,0.496232
most_frequent,148,86,4,15,14,0.37735718606861984,0.78885
most_frequent,178,16,4,19,2,0.44183304890907227,0.249191
most_frequent,178,16,18,17,3,0.43405827008166187,0.257267
most_frequent,23,26,13,9,6,0.4082771030139451,0.291284
median,73,16,16,17,7,0.38944509815653194,0.198516
most_frequent,58,61,18,17,6,0.41004836320424143,0.710974
median,88,21,4,19,7,0.38944509815653194,0.396744
median,73,16,4,5,7,0.38944509815653194,0.206519
median,88,61,4,5,7,0.38944509815653194,0.533482
mean,223,21,4,19,2,0.40343971038707876,0.272558
median,58,16,18,17,3,0.46149853265642743,0.209316
mean,23,86,15,16,14,0.37735718606861984,0.659737
most_frequent,103,26,13,9,6,0.4046587733702071,0.387135
mean,103,71,16,16,14,0.37735718606861984,1.046015
median,58,61,18,17,18,0.37735718606861984,0.630557
median,88,16,4,5,7,0.3923845455404238,0.218206
median,223,21,4,5,7,0.38029663345251163,0.235248
most_frequent,193,26,13,9,7,0.3746302833417171,0.333975
