individual,f1,elapsed_time
"[0.6394267984578837, 0.025010755222666936, 0.27502931836911926, 0.22321073814882275, 0.7364712141640124, 0.6766994874229113, 0.8921795677048454, 0.08693883262941615, 0.4219218196852704, 0.029797219438070344]",0.5092797055026158,0.771164
"[0.21863797480360336, 0.5053552881033624, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.5088544593807752,0.770265
"[0.8058192518328079, 0.6981393949882269, 0.3402505165179919, 0.15547949981178155, 0.9572130722067812, 0.33659454511262676, 0.09274584338014791, 0.09671637683346401, 0.8474943663474598, 0.6037260313668911]",0.5068438773701932,0.778083
"[0.8071282732743802, 0.7297317866938179, 0.5362280914547007, 0.9731157639793706, 0.3785343772083535, 0.552040631273227, 0.8294046642529949, 0.6185197523642461, 0.8617069003107772, 0.577352145256762]",0.48105516316042635,0.809957
"[0.7045718362149235, 0.045824383655662215, 0.22789827565154686, 0.28938796360210717, 0.0797919769236275, 0.23279088636103018, 0.10100142940972912, 0.2779736031100921, 0.6356844442644002, 0.36483217897008424]",0.5141281903511006,0.779576
"[0.37018096711688264, 0.2095070307714877, 0.26697782204911336, 0.936654587712494, 0.6480353852465935, 0.6091310056669882, 0.171138648198097, 0.7291267979503492, 0.1634024937619284, 0.3794554417576478]",0.5090493911546543,0.761738
"[0.9895233506365952, 0.6399997598540929, 0.5569497437746462, 0.6846142509898746, 0.8428519201898096, 0.7759999115462448, 0.22904807196410437, 0.03210024390403776, 0.3154530480590819, 0.26774087597570273]",0.49501171228725405,0.766988
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.3146778807984779, 0.65543866529488, 0.39563190106066426, 0.9145475897405435, 0.4588518525873988, 0.26488016649805246, 0.24662750769398345]",0.5032439685071264,0.793134
"[0.5613681341631508, 0.26274160852293527, 0.5845859902235405, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.49996557049188634,0.77181
"[0.10964913035065915, 0.62744604170309, 0.7920793643629641, 0.42215996679968404, 0.06352770615195713, 0.38161928650653676, 0.9961213802400968, 0.529114345099137, 0.9710783776136181, 0.8607797022344981]",0.4759109895952001,0.783448
"[0.21863797480360336, 0.5053552881033624, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.21932075915728333, 0.9975376064951103, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.47753367375658395,0.772856
"[0.9895233506365952, 0.6981393949882269, 0.3402505165179919, 0.15547949981178155, 0.9572130722067812, 0.33659454511262676, 0.09274584338014791, 0.09671637683346401, 0.3154530480590819, 0.26774087597570273]",0.5099488620541253,0.77727
"[0.21863797480360336, 0.5053552881033624, 0.026535969683863625, 0.1988376506866485, 0.0797919769236275, 0.23279088636103018, 0.10100142940972912, 0.2779736031100921, 0.6356844442644002, 0.006498759678061017]",0.4925581630844789,0.763028
"[0.8058192518328079, 0.26274160852293527, 0.5845859902235405, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.6037260313668911]",0.4930176451229083,0.769468
"[0.21098284358632646, 0.9429097143350544, 0.27502931836911926, 0.22321073814882275, 0.7364712141640124, 0.6766994874229113, 0.8921795677048454, 0.4588518525873988, 0.26488016649805246, 0.24662750769398345]",0.48446489068780096,0.769915
"[0.8071282732743802, 0.7297317866938179, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.577352145256762]",0.5103817624870256,0.776898
"[0.5613681341631508, 0.26274160852293527, 0.5845859902235405, 0.897822883602477, 0.39940050514039727, 0.33659454511262676, 0.09274584338014791, 0.09671637683346401, 0.8474943663474598, 0.6037260313668911]",0.4862646515278094,0.781229
"[0.5613681341631508, 0.26274160852293527, 0.8763676264726689, 0.3146778807984779, 0.65543866529488, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.5118007139059771,0.772973
"[0.37018096711688264, 0.2095070307714877, 0.26697782204911336, 0.936654587712494, 0.6480353852465935, 0.6091310056669882, 0.171138648198097, 0.7291267979503492, 0.1634024937619284, 0.029797219438070344]",0.4877557530189109,0.775471
"[0.8071282732743802, 0.025010755222666936, 0.5362280914547007, 0.9731157639793706, 0.3785343772083535, 0.552040631273227, 0.8294046642529949, 0.6185197523642461, 0.8617069003107772, 0.577352145256762]",0.5165225352944651,0.769957
"[0.6394267984578837, 0.025010755222666936, 0.26697782204911336, 0.936654587712494, 0.6480353852465935, 0.6091310056669882, 0.171138648198097, 0.7291267979503492, 0.1634024937619284, 0.3794554417576478]",0.4984724437356016,0.787691
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.9731157639793706, 0.3785343772083535, 0.552040631273227, 0.8294046642529949, 0.6185197523642461, 0.8617069003107772, 0.24662750769398345]",0.5188361476080775,0.81731
"[0.8071282732743802, 0.7297317866938179, 0.5362280914547007, 0.9731157639793706, 0.65543866529488, 0.39563190106066426, 0.9145475897405435, 0.6185197523642461, 0.8617069003107772, 0.577352145256762]",0.49910230120756427,0.796596
"[0.9895233506365952, 0.6399997598540929, 0.5569497437746462, 0.6846142509898746, 0.8428519201898096, 0.7759999115462448, 0.22904807196410437, 0.7291267979503492, 0.3154530480590819, 0.26774087597570273]",0.49271301148494134,0.766321
"[0.6394267984578837, 0.5053552881033624, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.4219218196852704, 0.029797219438070344]",0.5159327611959191,0.76747
"[0.8071282732743802, 0.7297317866938179, 0.5362280914547007, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.8617069003107772, 0.577352145256762]",0.5119260271891851,0.775105
"[0.7045718362149235, 0.045824383655662215, 0.8763676264726689, 0.3146778807984779, 0.0797919769236275, 0.23279088636103018, 0.10100142940972912, 0.2779736031100921, 0.6356844442644002, 0.36483217897008424]",0.48086023138654727,0.771706
"[0.5613681341631508, 0.5053552881033624, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.5062050749770048,0.76783
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.3146778807984779, 0.06352770615195713, 0.38161928650653676, 0.9961213802400968, 0.529114345099137, 0.26488016649805246, 0.24662750769398345]",0.49880737196526664,0.769862
"[0.9895233506365952, 0.6399997598540929, 0.5569497437746462, 0.6846142509898746, 0.8428519201898096, 0.23279088636103018, 0.10100142940972912, 0.2779736031100921, 0.3154530480590819, 0.26774087597570273]",0.5037241499470602,0.780548
"[0.5613681341631508, 0.26274160852293527, 0.5845859902235405, 0.3146778807984779, 0.65543866529488, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.4862089567352725,0.773408
"[0.6394267984578837, 0.26274160852293527, 0.5845859902235405, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.08693883262941615, 0.4219218196852704, 0.029797219438070344]",0.501395070167,0.772534
"[0.10964913035065915, 0.62744604170309, 0.7920793643629641, 0.42215996679968404, 0.06352770615195713, 0.38161928650653676, 0.9961213802400968, 0.529114345099137, 0.9710783776136181, 0.24662750769398345]",0.4879911900964532,0.76942
"[0.5613681341631508, 0.26274160852293527, 0.026535969683863625, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.5199135886855185,0.7771
"[0.8071282732743802, 0.7297317866938179, 0.5569497437746462, 0.6846142509898746, 0.8428519201898096, 0.552040631273227, 0.8294046642529949, 0.6185197523642461, 0.8617069003107772, 0.577352145256762]",0.47420419736209213,0.77543
"[0.6394267984578837, 0.025010755222666936, 0.27502931836911926, 0.22321073814882275, 0.7364712141640124, 0.6766994874229113, 0.8921795677048454, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.47074977004801566,0.775847
"[0.7045718362149235, 0.045824383655662215, 0.22789827565154686, 0.28938796360210717, 0.3785343772083535, 0.552040631273227, 0.10100142940972912, 0.2779736031100921, 0.6356844442644002, 0.36483217897008424]",0.49562306439499426,0.781331
"[0.8058192518328079, 0.6981393949882269, 0.3402505165179919, 0.15547949981178155, 0.9572130722067812, 0.33659454511262676, 0.10100142940972912, 0.2779736031100921, 0.8474943663474598, 0.6037260313668911]",0.48717095769727353,0.794858
"[0.10964913035065915, 0.62744604170309, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.5356086343805643,0.779045
"[0.7045718362149235, 0.045824383655662215, 0.3402505165179919, 0.15547949981178155, 0.9572130722067812, 0.33659454511262676, 0.10100142940972912, 0.2779736031100921, 0.6356844442644002, 0.36483217897008424]",0.5008659696378995,0.766491
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.3146778807984779, 0.65543866529488, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.4937965531773581,0.772366
"[0.5613681341631508, 0.26274160852293527, 0.22789827565154686, 0.28938796360210717, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.5057443519672622,0.770734
"[0.21863797480360336, 0.5053552881033624, 0.026535969683863625, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.4967213488266119,0.793386
"[0.8058192518328079, 0.62744604170309, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.6037260313668911]",0.5020956321413987,0.767821
"[0.5613681341631508, 0.62744604170309, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.4942218340463954,0.769273
"[0.8071282732743802, 0.7297317866938179, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.577352145256762]",0.5274843674843674,0.767359
"[0.10964913035065915, 0.62744604170309, 0.026535969683863625, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.5026659488888592,0.777149
"[0.10964913035065915, 0.62744604170309, 0.026535969683863625, 0.1988376506866485, 0.65543866529488, 0.21932075915728333, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.5080088267807567,0.768595
"[0.8058192518328079, 0.26274160852293527, 0.8763676264726689, 0.3146778807984779, 0.65543866529488, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.6037260313668911]",0.48906382116908426,0.7667
"[0.7045718362149235, 0.045824383655662215, 0.22789827565154686, 0.28938796360210717, 0.6498844377795232, 0.23279088636103018, 0.10100142940972912, 0.2779736031100921, 0.6356844442644002, 0.36483217897008424]",0.5073729778992938,0.764542
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.9731157639793706, 0.3785343772083535, 0.21932075915728333, 0.8294046642529949, 0.6185197523642461, 0.8617069003107772, 0.24662750769398345]",0.5081742234373813,0.769913
"[0.5613681341631508, 0.26274160852293527, 0.5845859902235405, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.5149948102579682,0.781899
"[0.5613681341631508, 0.26274160852293527, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.09090941217379389, 0.04711637542473457]",0.47877117035011774,0.770344
"[0.10964913035065915, 0.62744604170309, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.04711637542473457]",0.48578668894458377,0.770093
"[0.21863797480360336, 0.9429097143350544, 0.8763676264726689, 0.9731157639793706, 0.3785343772083535, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.5004250525303158,0.769532
"[0.5613681341631508, 0.26274160852293527, 0.5845859902235405, 0.897822883602477, 0.39940050514039727, 0.21932075915728333, 0.8294046642529949, 0.6185197523642461, 0.09090941217379389, 0.04711637542473457]",0.49340668962959977,0.771744
"[0.10964913035065915, 0.62744604170309, 0.026535969683863625, 0.1988376506866485, 0.6498844377795232, 0.5449414806032167, 0.2204406220406967, 0.5892656838759087, 0.8094304566778266, 0.006498759678061017]",0.48446570972886766,0.775027
"[0.5613681341631508, 0.26274160852293527, 0.8763676264726689, 0.3146778807984779, 0.65543866529488, 0.5449414806032167, 0.2204406220406967, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.5072258334487436,0.779271
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.3146778807984779, 0.65543866529488, 0.21932075915728333, 0.9975376064951103, 0.6185197523642461, 0.8617069003107772, 0.24662750769398345]",0.4944353307511202,0.780736
"[0.5613681341631508, 0.26274160852293527, 0.8763676264726689, 0.3146778807984779, 0.65543866529488, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.5128880281511861,0.767999
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.9731157639793706, 0.3785343772083535, 0.552040631273227, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.49996557049188634,0.767515
"[0.7045718362149235, 0.045824383655662215, 0.22789827565154686, 0.28938796360210717, 0.0797919769236275, 0.23279088636103018, 0.10100142940972912, 0.2779736031100921, 0.8617069003107772, 0.36483217897008424]",0.5057160578213209,0.763981
"[0.5613681341631508, 0.26274160852293527, 0.22789827565154686, 0.28938796360210717, 0.39940050514039727, 0.21932075915728333, 0.9975376064951103, 0.5095262936764645, 0.09090941217379389, 0.04711637542473457]",0.49149793676109466,0.775043
"[0.21098284358632646, 0.9429097143350544, 0.8763676264726689, 0.9731157639793706, 0.39940050514039727, 0.552040631273227, 0.8294046642529949, 0.6185197523642461, 0.8617069003107772, 0.24662750769398345]",0.5038502822713349,0.769948
"[0.8071282732743802, 0.7297317866938179, 0.8763676264726689, 0.9731157639793706, 0.3785343772083535, 0.552040631273227, 0.8294046642529949, 0.6185197523642461, 0.8094304566778266, 0.577352145256762]",0.48803719883811425,0.771392
