strategy,k,n_estimators,max_depth,min_samples_split,min_samples_leaf,f1,elapsed_time
median,23,1,10,4,9,0.33656815470316614,0.090676
most_frequent,158,76,9,4,10,0.37735718606861984,0.680436
most_frequent,233,86,9,17,11,0.37735718606861984,0.744288
most_frequent,13,16,17,7,8,0.4014823383244436,0.19522
most_frequent,188,21,14,16,7,0.37830997246201925,0.269112
median,168,51,10,18,19,0.37735718606861984,0.416627
mean,123,56,2,7,12,0.37735718606861984,0.435181
most_frequent,133,86,13,11,13,0.37735718606861984,0.73475
mean,148,71,18,7,2,0.45703060292533976,0.803611
mean,98,26,19,3,9,0.37735718606861984,0.24281
mean,98,21,14,3,9,0.39140774456362276,0.216252
median,168,76,9,4,19,0.37735718606861984,0.573524
median,23,16,17,7,8,0.38158999030142404,0.161797
median,148,71,10,4,9,0.37735718606861984,0.632106
most_frequent,133,86,9,11,13,0.37735718606861984,0.697878
most_frequent,148,86,9,17,11,0.37735718606861984,0.737767
median,23,1,10,4,19,0.38132544003687385,0.066554
most_frequent,188,71,18,7,2,0.46317018029197027,0.844105
most_frequent,133,86,13,11,19,0.37735718606861984,0.676421
most_frequent,13,16,18,7,8,0.4014823383244436,0.184775
most_frequent,233,71,9,17,11,0.37735718606861984,0.622267
mean,148,1,10,7,2,0.4275243664717349,0.063396
most_frequent,188,21,14,4,7,0.3913425539156533,0.2716
most_frequent,133,1,10,4,9,0.42866058426699166,0.096723
most_frequent,188,21,2,7,12,0.37735718606861984,0.226717
most_frequent,158,76,9,16,7,0.39511144826732647,0.725256
most_frequent,233,86,19,3,9,0.37735718606861984,0.793554
mean,123,21,2,7,12,0.37735718606861984,0.184641
mean,23,26,19,3,9,0.37735718606861984,0.214175
mean,123,56,19,3,12,0.37735718606861984,0.477428
median,148,71,18,7,2,0.4509255968203337,0.801801
most_frequent,233,16,17,7,11,0.37735718606861984,0.207711
median,23,1,2,7,9,0.33656815470316614,0.067159
most_frequent,233,51,10,17,11,0.37735718606861984,0.474717
most_frequent,158,21,14,16,10,0.37735718606861984,0.251524
mean,123,56,2,7,19,0.37735718606861984,0.393273
median,23,16,17,4,9,0.38158999030142404,0.162382
mean,123,86,13,11,13,0.37735718606861984,0.654834
most_frequent,13,71,17,7,8,0.37735718606861984,0.50726
most_frequent,13,16,18,7,11,0.37735718606861984,0.183739
most_frequent,188,21,18,7,7,0.3913425539156533,0.267197
most_frequent,133,21,9,11,13,0.37735718606861984,0.236931
most_frequent,188,21,14,16,7,0.37830997246201925,0.269436
most_frequent,13,16,18,3,8,0.4014823383244436,0.183765
most_frequent,188,16,18,7,7,0.37292852263612497,0.23342
most_frequent,133,86,9,16,7,0.37735718606861984,0.766509
mean,158,21,14,16,10,0.37735718606861984,0.218192
most_frequent,148,71,18,7,8,0.39511144826732647,0.687988
mean,148,21,14,16,7,0.4426305554960527,0.228693
most_frequent,188,71,18,16,7,0.38029663345251163,0.677825
most_frequent,233,16,17,7,7,0.3915584307397173,0.220967
most_frequent,188,21,18,7,2,0.4414794679005206,0.310183
most_frequent,148,71,18,11,13,0.37735718606861984,0.604203
most_frequent,188,21,18,16,7,0.37830997246201925,0.263289
most_frequent,158,21,14,16,7,0.3834621921736259,0.26039
most_frequent,13,16,14,16,7,0.4145558350643528,0.185874
most_frequent,13,71,18,7,8,0.37735718606861984,0.508543
most_frequent,13,16,18,11,8,0.4014823383244436,0.1846
most_frequent,133,21,13,11,13,0.37735718606861984,0.240912
mean,148,71,14,16,2,0.4483553654771555,0.755203
most_frequent,158,21,9,11,10,0.37735718606861984,0.266
most_frequent,13,21,18,7,8,0.4073114885980383,0.213466
most_frequent,233,71,18,7,2,0.4400323944590408,0.844551
most_frequent,13,16,13,11,13,0.37735718606861984,0.184081
most_frequent,13,16,14,3,9,0.3881712829081251,0.18421
most_frequent,13,16,18,16,10,0.3799498746867168,0.182917
most_frequent,188,21,14,16,7,0.37830997246201925,0.264622
mean,158,21,14,16,10,0.37735718606861984,0.213668
most_frequent,233,16,13,11,13,0.37735718606861984,0.203459
most_frequent,158,21,18,16,10,0.37735718606861984,0.254773
most_frequent,13,16,18,7,11,0.37735718606861984,0.188149
mean,148,21,14,3,2,0.4644551947943761,0.283078
mean,148,21,14,7,2,0.4641562518335974,0.279733
most_frequent,13,21,14,16,7,0.4107970781654992,0.21728
mean,98,21,14,3,2,0.4450659476975266,0.259811
most_frequent,133,86,18,7,2,0.43742059975978104,0.951837
mean,148,71,18,7,2,0.45703060292533976,0.801016
most_frequent,148,16,14,16,7,0.43716047002596703,0.222896
most_frequent,188,71,18,7,2,0.46317018029197027,0.859733
most_frequent,13,21,18,16,7,0.4107970781654992,0.213136
most_frequent,13,21,18,7,8,0.4073114885980383,0.211953
mean,148,71,18,11,8,0.39511144826732647,0.629261
mean,148,71,18,7,2,0.45703060292533976,0.792806
mean,148,71,18,7,2,0.45703060292533976,0.79088
most_frequent,13,16,18,7,2,0.41753533219894773,0.191988
mean,148,71,18,16,7,0.40916200676232944,0.660062
most_frequent,13,21,18,7,2,0.41010419396689424,0.226967
most_frequent,13,16,18,7,8,0.4014823383244436,0.18669
most_frequent,13,71,18,7,8,0.37735718606861984,0.508854
mean,148,71,18,16,2,0.4483553654771555,0.75521
most_frequent,188,71,18,7,7,0.3832360808364035,0.685756
most_frequent,13,16,18,11,8,0.4014823383244436,0.187584
most_frequent,13,16,18,11,2,0.42263491690951643,0.190422
mean,148,71,18,16,7,0.40916200676232944,0.665401
most_frequent,148,71,18,11,8,0.39511144826732647,0.670484
mean,148,71,14,7,2,0.45703060292533976,0.786552
mean,13,21,18,7,2,0.41010419396689424,0.189854
most_frequent,233,71,18,7,7,0.3897299984414322,0.68302
most_frequent,188,21,18,7,8,0.3832360808364035,0.26287
most_frequent,13,21,18,16,7,0.4107970781654992,0.2183
mean,233,21,14,16,7,0.3749151836266174,0.230464
most_frequent,13,71,18,11,8,0.37735718606861984,0.508607
most_frequent,188,16,18,16,7,0.37292852263612497,0.224382
most_frequent,188,71,18,16,7,0.38029663345251163,0.6812
mean,13,16,18,11,2,0.42263491690951643,0.158912
mean,148,21,18,7,2,0.4641562518335974,0.277417
mean,13,21,14,16,7,0.4107970781654992,0.184951
mean,148,71,18,7,2,0.45703060292533976,0.848907
mean,13,16,14,7,2,0.41753533219894773,0.163102
mean,148,21,18,7,8,0.4426305554960527,0.227631
mean,148,71,18,7,2,0.45703060292533976,0.798323
most_frequent,148,71,18,7,8,0.39511144826732647,0.666472
most_frequent,148,71,18,7,8,0.39511144826732647,0.662365
most_frequent,13,16,14,7,8,0.4014823383244436,0.182536
most_frequent,188,71,18,7,7,0.3832360808364035,0.680695
